id,created at,text,screen_names,followers_count,friends_count,name,lat,lon,place name,place type
1125481953614909440,Mon May 06 19:26:22 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,DREAMMYISME,189,2789,ดอดม🌕 #𝙨𝙥𝙞𝙣𝙣𝙞𝙣𝙜𝙩𝙤𝙥,,,,
1125481974116655104,Mon May 06 19:26:27 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,Jm13Sg09,113,116,mookkàsennnn,,,,
1125482164244496384,Mon May 06 19:27:13 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,pnc93_,174,781,pk,,,,
1125482348487819264,Mon May 06 19:27:56 +0000 2019,"eu tenho vontade de comprar o s10 só pela digital na tela. serio, coisa mais desperdiçada é essa digital na parte de trás do s8",isadora_alves_,685,477,xanddy toca na minha festa,,,,
1125482354200522758,Mon May 06 19:27:58 +0000 2019,"RT @TJ_Cobain: Flash Sale £35 With S10 :)

Site - https://t.co/3S4PUgEfwH

Vouches - #TJLegit

250RTS = x1 IKONIK + Emote Winner https://t.…",Egirl_filizii,15,26,Stellar filizii??🧬,,,,
1125482489810546688,Mon May 06 19:28:30 +0000 2019,"갤럭시노트9, 갤럭시노트8 물량이 
최신스마트폰 S10 출시로 유례없던 가격으로 혜택 받을 수 있네요.
https://t.co/ly00LABYAa",soyull88love,247,245,함소율,,,,
1125482726297989120,Mon May 06 19:29:27 +0000 2019,@sherean It's a reamed s10,MedbeamL,0,0,Medbeam Electronics Pvt Ltd,,,,
1125482786847186944,Mon May 06 19:29:41 +0000 2019,s10+ o xs max estoy en la puta duda,ElNanoSaez,700,676,HijoDelDiablo😈,,,,
1125482809425113088,Mon May 06 19:29:46 +0000 2019,VOCE PODE GANHAR UM SAMSUNG GALAXY S10 PLUS https://t.co/IZd8RKnrFw,EscamillaDavid8,269,4979,EscamillaDavid8,,,,
1125482873455353856,Mon May 06 19:30:02 +0000 2019,Samsung Galaxy S10 - First 12 Things To Do! https://t.co/oNesAAvyo8 @YouTube #WhitestoneDomeGlass https://t.co/cmbYA0E0d6,WhitestoneJapan,169,1038,Whitestonedome Japan,,,,
1125482883357990913,Mon May 06 19:30:04 +0000 2019,"Credit Card Submit - Get a New Galaxy S10 Now!
Sign up to a 5- day trial at https://t.co/MYtlUarqnf TODAY.
Enter fo… https://t.co/MbGsgy4hFp",Rakibul43526314,17,134,Rakibul Hasan,,,,
1125482901041184773,Mon May 06 19:30:08 +0000 2019,Not only do I feel like my phone is protected but it doesn't even feel like I have a protector on my screen. Anothe… https://t.co/Ho1ZP7cU3n,Whitestone_DE,143,1878,WhitestoneDome Deutschland,,,,
1125482935447060480,Mon May 06 19:30:16 +0000 2019,"The BEST Screen Protector For Samsung S10! (Works With Fingerprint Senso... https://t.co/pmRIj1OVJg via @YouTube
If… https://t.co/88P9PtkfIs",whitestone_UK,410,3205,WhitestonedomeUK,,,,
1125482939435737088,Mon May 06 19:30:17 +0000 2019,"RT @UniverseIce: I experienced the Galaxy S10 5G, a bigger screen, a bigger battery, and heavier. https://t.co/LvEJNBnmGV",tatarxxi,201,593,tatarxxi,,,,
1125483054116614146,Mon May 06 19:30:45 +0000 2019,"RT @MwalimChurchill: Monday looks like this in Nairobi.
Mvua ilipotea tena? 
📸 shot on Samsung S10+ https://t.co/t83wyq7BOv",SonoiyaLawrence,60128,38950,Lawrence Sonoiya,,,,
1125483119375671297,Mon May 06 19:31:00 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,linlinping69,880,218,ชูครีมทาร์ตไข่เค้ก เอแคลร์ ชิฟฟ่อนกะละแม ใส่ไส้,,,,
1125483172827926529,Mon May 06 19:31:13 +0000 2019,New Samsung Galaxy s10 128gb BLACK - Verizon https://t.co/bvBaJnm8QG,settlement_wa,12,6,Settlement WA USA,,,,
1125483198627102720,Mon May 06 19:31:19 +0000 2019,Samsung Galaxy S10 Plus Aluminum Metal Case - S10 Aluminum Case https://t.co/FP42zQn1Bm,Redpeppercases,6,85,Redpepper Cases,,,,
1125483247444660224,Mon May 06 19:31:31 +0000 2019,Samsung Galaxy S10 Aluminum Metal Case - S10 Plus Aluminum Case https://t.co/0VJlYimwOP,Redpeppercases,6,85,Redpepper Cases,,,,
1125483264024539136,Mon May 06 19:31:35 +0000 2019,Galaxy S10→Snapdragon 855、RAM8GB、イヤホンジャック有り、microSD有り https://t.co/vHuh5twL0H,ZKxcS61TBsIciQM,76,79,【科学的に証明された！】幸せな女性になる為の10の法則,,,,
1125483264658104320,Mon May 06 19:31:35 +0000 2019,https://t.co/DjFP4dhQCw https://t.co/sV9dU0supv,TechNewsToday5,9,15,Tech News Today,,,,
1125483287407886344,Mon May 06 19:31:40 +0000 2019,Luxury Aluminum Metal Armor Cover Case For Samsung Galaxy S10 Plus S10 E S10 Slim Frame Shell Bumper Back Clear Gla… https://t.co/1GCGXlozkY,Redpeppercases,6,85,Redpepper Cases,,,,
1125483318433198081,Mon May 06 19:31:48 +0000 2019,"New post: Samsung Galaxy S10 : avis, prix et fiche technique complète – Presse-citron https://t.co/on4KgHpSYX",MobileStarts,132,8,Mo.bi,,,,
1125483324724666369,Mon May 06 19:31:49 +0000 2019,Slim Fit shockproof hard Case with built-in Credit Card / ID Slot Brushed Metal Texture for Samsung Galaxy S10/S10… https://t.co/bKyyFrSkGy,Redpeppercases,6,85,Redpepper Cases,,,,
1125483372564840448,Mon May 06 19:32:01 +0000 2019,Samsung Galaxy S10 Plus Case Car Holder Magnetic Ring Case For Samsung S10 Plus S10 Lite https://t.co/KX7cgC4u3c,Redpeppercases,6,85,Redpepper Cases,,,,
1125483427795480576,Mon May 06 19:32:14 +0000 2019,Full Body Magnetic Case For Samsung Galaxy S10 Plus 360 Bumper Back Cover Tempered Glass For Samsung S10 Plus S10e… https://t.co/XmZ7T77azX,Redpeppercases,6,85,Redpepper Cases,,,,
1125483450138484736,Mon May 06 19:32:19 +0000 2019,"갤럭시S10 5G 젤싼가격 최대 이벤트 특별 혜택가 행사 진행중인 곳을 찾았어요ㅎㅎ
https://t.co/r46jP7sOHK",hamin99lover,188,147,김하민,,,,
1125483523815682050,Mon May 06 19:32:37 +0000 2019,Samsung Galaxy S10 Plus Magnetic Case  - Galaxy S10 Magnetic Case https://t.co/KpNH1gaLcW,Redpeppercases,6,85,Redpepper Cases,,,,
1125483563485356033,Mon May 06 19:32:46 +0000 2019,Shockproof Ring Case For Samsung Galaxy S10 Case Soft Silicone Metal Bracket Hard TPU Cover for Samsung S10 Plus Ar… https://t.co/JodlAhZMar,Redpeppercases,6,85,Redpepper Cases,,,,
1125483611535347712,Mon May 06 19:32:58 +0000 2019,5D UV Nano Liquid Full Glue Tempered Glass for Samsung Galaxy S10 Plus - Screen Protector for Galaxy S10e https://t.co/L70bzmbMD7,Redpeppercases,6,85,Redpepper Cases,,,,
1125483622222442498,Mon May 06 19:33:00 +0000 2019,"@AlagipMohammed مرحبا، يرجى زيارة موقعنا حيث ستحصل على معلومات أكثر حول الأسعار:https://t.co/lUQn5vAwT8
 شكراً  :)",Samsung_Saudi,726147,35,SamsungSaudi,,,,
1125483645584728064,Mon May 06 19:33:06 +0000 2019,UV Full Glue Screen Protector For Samsung S10 S10e Tempered Glass Full Cover UV Light Liquid Fingerprint Sensor For… https://t.co/zMdz7OhEZh,Redpeppercases,6,85,Redpepper Cases,,,,
1125483684533014534,Mon May 06 19:33:15 +0000 2019,2pk Screen Protector For Samsung S10 Plus Liquid Full Glue UV Light Fingerprint Works https://t.co/JbKfKzUZKB,Redpeppercases,6,85,Redpepper Cases,,,,
1125483693534003201,Mon May 06 19:33:17 +0000 2019,Check out USB 2.0 Kabel Type C (3-Pack) LadeKabel Datenkabel SAMSUNG GALAXY S8 S9 S10  https://t.co/aa4eCoJLAm via @eBay,tjcoolee,8,39,Herrchencoolee,,,,
1125483722562854917,Mon May 06 19:33:24 +0000 2019,Batman Aluminum Metal Cases For Samsung S10 Plus - Galaxy S10 Metal Case https://t.co/sHMvL7xjmA,Redpeppercases,6,85,Redpepper Cases,,,,
1125483731077279744,Mon May 06 19:33:26 +0000 2019,On this date CSI episodes turn of the screws (S4) and lost &amp; found (S10) was on 📺,catheri77679385,2341,1661,catherine jackson,,,,
1125483764082253824,Mon May 06 19:33:34 +0000 2019,3D Curved Samsung Galaxy S10 Plus Tempered Glass Screen Protector https://t.co/XHbw1iNBOM,Redpeppercases,6,85,Redpepper Cases,,,,
